date_data_entered,person_entering_data,date_on_vial,person_that_sorted_the_sample,site,partial_sample_note,sample_type,ostracod,copepod,hemiptera_corixidae_boatman,cladocera,nematode,dipteran_sp,diptera_chironomid,diptera_ceratopogonidae,diptera_ceratopogonidae_pupa,diptera_culicidae,diptera_culicidae_larvae,diptera_anthomyiidae,diptera_ephydridae,diptera_stratiomyidae,amphipod,lepidoptera_crambidae,hemiptera_mesoveliidae,hemiptera_notonectidae,annelida_sp,annelida_oligochaete,annelida_polychaete,ephemeroptera,odonate,coleoptera_sp,coleoptera_dytiscidae,coleoptera_dytiscidae_liodessus_affinis,coleoptera_dytiscidae_agabus,coleoptera_dytiscidae_colymbetinae,coleoptera_curculionidae_weavil,coleoptera_hydrophilidae,coleoptera_tropiscernus,coleoperta_hydraenidae,coleoptera_gyrindae_gyrinini,ephemeroptera_sp,tipulidae_larva,plecoptera_sp,arachnida_acari_mite,trichoptera_sp,collembola_springtail,gastropod_snail,mollusk,syrphidae,terrestrials,isopoda_sphaeroma,clam_shrimp,eristalis_tenax_larvae,larvae,crawfish,fish,nz_mudsnail,unknown,comments,OBJECTID,Sampling_frequency,x,y
NA,Lauren  Stiles,2022-02-21T00:00:00Z,McKenzie,NPB,NA,FB250,10,176,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"one ant, one springtail for terrestrials",4,Quarterly,-119.878980669991,34.4213716063627
NA,Justin H,2022-02-23T00:00:00Z,Justin H,NVBR,NA,FB250,NA,2758,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Alison R,2022-02-23T00:00:00Z,Unknown,NPB1,NA,FB250,NA,156,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Ingrid,2022-02-25T00:00:00Z,Ingrid,NEC,NA,FB250,0,392,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Lauren Stiles,2022-05-05T00:00:00Z,Sam D,NEC,NA,FB250,2,63,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,winged terrestrial,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Alison R,2022-05-06T00:00:00Z,Kristen R,NMC,NA,FB250,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
NA,Lauren  Stiles,2022-05-11T00:00:00Z,Dakota T,NDC,NA,FB250,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Quarterly,-119.882993254677,34.4211237991105
NA,Alison R,2022-05-11T00:00:00Z,Vivian Liang,NWP,NA,FB250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
NA,Lauren Stiles,2022-05-12T00:00:00Z,Wanzhou F,NPB2,NA,FB250,8985,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,e,NA,NA,NA,NA,6,Quarterly,-119.880675826088,34.4248762302824
NA,Alison R,2022-05-12T00:00:00Z,Dakota Tyson,NPB,NA,FB 250,8,59,11,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,1,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Lauren S,2022-05-12T00:00:00Z,Lauren S,NPB2,NA,FB250,NA,177,NA,3708,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Quarterly,-119.880675826088,34.4248762302824
NA,Alison R,2022-05-13T00:00:00Z,Molly Tang,NVBR,NA,FB 250,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Kristen R,2022-05-13T00:00:00Z,Breanna Flores,NVBR,NA,FB250,NA,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Alison R,2022-08-08T00:00:00Z,"Kylie, Belen and Gary",NPB2,NA,FB250,15,28,NA,3630,NA,NA,1,NA,4,10,90,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,6,Quarterly,-119.880675826088,34.4248762302824
NA,Lauren S,2022-08-10T00:00:00Z,Emily B,NPB,NA,FB250,20,5,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Valeria Estrada,2022-08-12T00:00:00Z,Jorge Palafox/Sophia Long,NVBR,NA,FB250,NA,NA,41,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Sophia Cabral,2022-08-12T00:00:00Z,Breanna Flores,NEC,NA,FB250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Lauren Stiles,2022-08-12T00:00:00Z,Vivian Liang,NEC,NA,FB250,NA,6,3,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Lauren Stiles,2022-08-15T00:00:00Z,Vivian Liang,NMC,NA,FB250,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
NA,Kristen Russell,2022-11-12T00:00:00Z,Valeria Estrada,NEC,NA,FB250,NA,72,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Lauren S,2022-11-12T00:00:00Z,Valeria E,NEC,NA,FB250,NA,566,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Kristen Russell,2022-11-18T00:00:00Z,Jackson Hahn-Smith,NVBR,NA,FB250,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Alison R,2022-11-19T00:00:00Z,Lauren Hall,NPB1,NA,FB250,15,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Kristen R,2022-11-19T00:00:00Z,Kaitlyn Briggs,NDC,NA,FB250,45,190,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Quarterly,-119.882993254677,34.4211237991105
NA,Kristen R,2023-01-28T00:00:00Z,Emily B,NPB1,NA,FB250,NA,3,NA,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Delaney O'Donnell,2023-02-12T00:00:00Z,Sophia Long,NEC,NA,FB250,16,225,15,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2 unknown green tubes,1,Quarterly,-119.873895201699,34.4208936917187
NA,Kristen R,2023-02-21T00:00:00Z,Emily B,NEC,NA,FB250,NA,159,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Delaney O'Donnell,2023-02-24T00:00:00Z,Breanna Flores,NVP4,NA,FB250,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,"5 ants, 11 aphids",9,After Rain,-119.880949411571,34.419069035776
NA,Kristen R,2023-02-27T00:00:00Z,Kaitlyn Briggs,NVP2,NA,FB250,533,406,NA,2450,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,After Rain,-119.87988189222,34.4194776322913
NA,Sophia cabral,2023-02-27T00:00:00Z,Kaitlyn Briggs,NVP4,NA,FB250,1,31,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample missing, unable to check. 15 aphids",9,After Rain,-119.880949411571,34.419069035776
NA,Kristen R,2023-02-27T00:00:00Z,Kaitlyn Briggs,NVP4,NA,FB250,1,31,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,After Rain,-119.880949411571,34.419069035776
NA,Kristen R,2023-02-28T00:00:00Z,Emily B,NPB1,NA,FB250,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Kristen R,2023-02-28T00:00:00Z,Belen Baldelli,NPB,NA,FB250,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
